编号,颜色,形态,条痕,光泽,透明度,硬度,解理,断口,比重,晶面条纹,其它,矿物名称
1,金黄褐色,片状或鳞片状,无,半金属光泽,透明或半透明,2~3,1组完全解理,,2.7-2.9,,薄片具有弹性，具高度不导电性,金云母
2,无色及白、浅灰绿等色,细小鳞片状,无,玻璃,透明或半透明,2~3,1组完全解理,,2.79-3.1,,薄片具有弹性，具高度不导电性,白云母
3,黑色,片状,无,玻璃,透明或半透明,2~3,1组完全解理,,3.02-3.12,,薄片具有弹性，具高度不导电性,黑云母
4,铁黑色或钢灰色,鳞片状、片状或块状,黑灰色,金属光泽,不透明,1~2,一组完全解理,,2.09-2.23,,薄片具挠性，具滑腻感，染手染指，不溶于酸,石墨
5,无色，含杂质为黑色（黑金刚）,似球形的八面体或六面体,,强金刚光泽,透明,10,,,3.47-3.56,,紫外线下发荧光,金刚石
6,铅灰至黑色（表面有时具翠绿色或天蓝色小斑）,块状、粒状,黑灰色,金属光泽,不透明,2~3,解理不清楚,,5.5-5.8,,风化表层常有一层无光被膜，稍具延展性,辉铜矿
7,铅灰色,块状或粒状集合体,黑灰色,金属光泽,不透明,2.5-2.75,三组立方解理完全,,7.4-7.6,,性脆，可以碎成立方小块,方铅矿
8,浅黄、黄褐到铁黑色,粒状,浅黄或浅褐色,金刚光泽、半金属光泽(深色闪锌矿)或稍县松脂光泽(浅色闪锌矿),半透明(浅色者)到不透明(深色者),3.5-4,六组完全解理,锯齿状,3.9-4.1,,颜色不太固定，但条痕经常比颜色浅(浅黄褐色)，稍具松脂光泽，棱角或碎块透光，多向完全解理。,闪锌矿
9,朱红色,粒状、致密块体或粉末被膜,朱红色,金刚光泽,半透明,2-2.5,三组解理完全,,8.09~8.20,,性脆,辰砂
10,铅灰色,柱状、针状或块状,黑灰色,强金属光泽,不透明,2~2.5,一组解理完全,,4.5~4.6,柱面具纵条纹,硬度低(指甲可刻动)，单向完全解理，极易熔化。,辉锑矿
11,铅灰色,叶片状、鳞片状,亮灰色(常带微绿),金属光泽,不透明,1~1.5,最完全解理,,4.7~5.0,,薄片有挠性,辉钼矿
,,,,,,,,,,,",可分离成薄片，能在纸上划出条痕，有滑膩感。",
,,,,,,,,,,,,
12,浅黄(铜黄)色,块状、粒状集合体或结核状,黑色(带微绿),强金属光泽,不透明,6~6.5,无解理,,4.9~5.2,六面体晶面上有与棱平行的条纹，各晶面上的条纹互相垂直。,完好晶体，,黄铁矿
,,,,,,,,,,,较大的硬度(小刀刻不动)。,
,,,,,,,,,,,,
13,金黄色(表面常有锈色),致密块状或分散粒状,黑(带微绿)色,金属光泽,不透明,3.5~4,解理不清楚,,4.1~4.3,,性脆，硬度中等,黄铜矿
14,柠檬黄色,片状、肾状、土状等,鲜黄色,油脂光泽至金刚光泽,不透明,1.5-2,板状解理极完全,,3.49,,,雌黄
15,橘红色,粒状或块状,淡橘红色,油脂光泽,不透明,1.5-2,板状解理良好,,3.48,,,雄黄
16,锡白色,粒状或块状,灰黑色,金属光泽,不透明,5.5-6.0,解理中等至不完全,,6.2,,锤击它，发出蒜臭味。,毒砂
17,钢灰色至铁黑色,板状、叶片状、鳞片状及块状,樱红色,金属光泽,不透明,2.5~6.5,无,贝壳状,5.0-5.3,,无磁性，性脆，赤铁矿的变种,镜铁矿
18,暗红色,鲕状、肾状、块状或粉末状,樱红色,半金属或暗谈光泽,不透明,较小,无,锯齿状,,,,沉积型赤铁矿
19,铁黑色,粒状或块状,黑色,金属或半金属光泽,不透明,5.5~6,解理不清楚,断口不平坦,4.9-5.2,,性脆，具有强磁性,磁铁矿
20,黄褐、黑褐以至黑色,致密块状、粉末状或呈钟乳状、葡萄状等,黄褐色(铁锈色),半金属或土状光泽,不透明,"4~5.5,风化后小于2",,,2.7~4.3,,可染手,褐铁矿
21,棕色、棕黑色,致密块体或柱状、粒状块体,浅褐色,金刚光泽，断口松脂光泽,不透明,6~7,解理不清楚,,6.8~7.1,,不溶于酸,锡石
22,蓝灰、黄灰、红和绿色,粒状或块状,无,玻璃光泽,透明至不透明,9,无,,3.98,,,刚玉
23,红褐色到几乎黑色,粒状或块状,浅褐色,金刚光泽到半金属光泽,透明到不透明,6.5,柱面解理清楚,,4.2-5.6,柱面常有纵纹,能溶于热磷酸，冷却稀释后加入过氧化钠可使溶液变成黄褐色,金红石
24,无色、红色、绿色、褐黑色,八面体,白色,玻璃光泽至亚金刚光泽,透明至不透明,8,不完全解理,贝壳状,3.55,,,尖晶石
25,煤黑色(或带微红微褐),隐晶块体，粉末状,黑色(或带褐色),隐晶块体为半金属光泽，粉末状者为土状光泽，,不透明,2~3,,,4.7~5.0,,黑色煤烟灰状，性软易污手。,软锰矿
26,白、灰、黄、褐等色，或因杂质染色而呈淡红至红色,致密块状、鲕状、豆状,白色,土状光泽,透明至半透明,3左右,解理极完全,,2.5~3.5,,外表似黏土岩，但硬度较高，相对密度较大，没有黏性、可塑性及滑腻感。,铝土矿
,,,,,,,,,,,,
27,无色,致密块状,无色,玻璃光泽，断口呈油脂光泽,透明,7,无解理,贝壳状,,柱面上有明显的横纹,,石英
,,,,,,,,,2.22-2.65,,,
28,肉红、浅黄、浅黄白色,板状或短柱状,,玻璃或珍珠光泽,半透明,6,完全解理，两组解理直交,,2.56-2.58,面上无双晶纹，有时在同一断面上可见有反光程度不同的两部分（卡氏双晶）,将小块正长石置于HF酸中浸渍1~3分钟，再在60%的亚硝酸钴钠浸液中浸渍5~10min，用水冲洗显柠檬黄色,正长石
29,白至灰白色，或浅蓝、浅绿,细柱状或板状晶体,,玻璃光泽,半透明,6~6.5,两组解理斜交,,2.60~2.76,在晶面或解理面上可见到细而平行的双晶纹,按上面的方法，不染色或呈浅灰色,斜长石
30,橄榄绿色,颗粒或粒状,,玻璃光泽,透明至半透明,6.5~7,解理中等或不清楚,贝壳状,3.3~3.5,,性脆,橄榄石
31,绿黑至黑色,长柱状、粒状,浅灰绿色,玻璃光泽(风化面暗淡),近不透明,5~6,两组解理近直交呈87°或93°,,3.23~3.52,,,普通辉石
32,绿黑至黑色,短柱状、粒状,灰绿色,玻璃光泽(风化面暗淡),近不透明,5~6,两组解理相交呈124°或56°,,3.1~3.4,,,普通角闪石
33,黄绿、暗绿至黑绿色,针状、纤维状,,玻璃光泽,透明至半透明,6~7,一组完全解理,,3.25~3.5,晶面具明显条纹,,绿帘石
34,浅绿至深绿色,叶片状、鳞片状,,珍珠或脂肪光泽,透明至半透明,2~2.5,单向最完全解理,,2.6~2.85,,薄片具有挠性，无弹性,绿泥石
35,浅黄至深绿色，有时为浅黄色或近于白色，,致密块状、层片状或纤维状,白色,脂肪或蜡状光泽,半透明,2.5~3.5,,,2.5~2.65,常有斑状色纹,稍具滑感,蛇纹石
35,灰白色,鳞片状,白色,油脂光泽,,1,1组,,2.7-2.8,,有滑感,滑石
36,深红、红褐、棕、绿、黑等色,粒状,,玻璃及脂肪(断口)光泽,半透明,6.5~7.5,无,,3.5~4.3,,,石榴子石
37,粉红色、红褐色或灰白色,放射状或粒状,,玻璃光泽,半透明,6.5-7.5,柱面解理中等,,3.15-3.16,,,红柱石
38,白或浅灰、浅绿、浅红色,粉末状、土状,白色,土状光泽,,1,无,土状,2.58-2.6,,有吸水性，遇水后有可塑性,高岭石
39,乳白色,菱面体,无,玻璃,不透明,3,3组解理完全，解理面平整,,2.6-2.8,,滴盐酸起泡猛烈,方解石
,,,,,,,,,,,,
40,乳白、粉红、灰绿等色,菱面体,无,玻璃,,3.5-4,3组完全解理,,2.0-2.1,,可用盐酸和镁试剂鉴定，在稀盐酸中分解缓慢,白云石
41,绿色,钟乳状、肾状、被膜状或土状,翠绿色,玻璃光泽,半透明,3.5-4,,,4-4.5,,遇盐酸起泡,孔雀石
42,深蓝色,粒状、钟乳状、皮壳状或土状,天蓝色,玻璃光泽,半透明,3.5-4,,贝壳状,3.7-3.9,,遇盐酸起泡,蓝铜矿
43,无色，若含杂质时被染成各种颜色,块状或板状、粒状,白色,玻璃光泽,透明至半透明,3-3.5,三组解理完全,,4.3-4.6,,,重晶石
44,无色透明、白、浅灰色,纤维状,白色,玻璃,,2,1组最完全解理,,2.3,, 可撕成薄片、纤维状、粒状，薄片有挠性,石膏
45,白、灰、黄绿、褐、紫等色,粒状、块状或结核状,,玻璃光泽,透明至不透明,5,解理沿底面不完全,断口不平坦,3.18-3.21,,性脆,磷灰石
46,黑色、玫瑰色、深蓝色、褐色、黄色、深绿色,柱状、针状、放射状和块状,,玻璃光泽，断口松脂光泽,半透明至透明,7-7.5,无,,2.98-3.20,柱面具纵纹,,电气石
47,无色或黄、蓝、红等色,粒状或块状,,玻璃光泽,透明至不透明,8,一组与柱面垂直的完全解理,,3.4-3.6,柱面有纵纹,,黄玉
48,白色或黄白色,粒状,无色或白色,玻璃光泽，断口油脂光泽,透明,5.5-6,,贝壳状,2.47-2.5,几组平行的双晶条带,,白榴石
